# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PREPL	ENSG00000138078	ENST00000260648	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000378511	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000378520	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000409272	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000409411	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000409936	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000409957	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000410081	protein_coding	0	1	0	0	0	1	0	0	0	0
PREPL	ENSG00000138078	ENST00000425263	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0
PREPL	ENSG00000138078	ENST00000426481	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0
PREPL	ENSG00000138078	ENST00000438314	protein_coding	0	0	1	1	0	0	0	0	0	0
PREPL	ENSG00000138078	ENST00000540817	processed_transcript	0	0	1	1	0	0	0	0	0	0
PREPL	ENSG00000138078	ENST00000541738	protein_coding	0	1	0	0	0	1	0	0	0	0
RPL21P119	ENSG00000220793	ENST00000484462	processed_pseudogene	0	0	2	2	0	0	0	0	0	0
SLC22A1	ENSG00000175003	ENST00000324965	protein_coding	0	0	1	0	1	0	0	0	0	0
SLC22A1	ENSG00000175003	ENST00000366963	protein_coding	0	0	1	0	1	0	0	0	0	0
SLC22A1	ENSG00000175003	ENST00000457470	protein_coding	0	0	1	0	1	0	0	0	0	0
SLC22A1	ENSG00000175003	ENST00000460902	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0
SLC22A1	ENSG00000175003	ENST00000478607	retained_intron	0	0	1	0	0	0	0	0	0	1
SLC22A1	ENSG00000175003	ENST00000539263	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0
TNFRSF11A	ENSG00000141655	ENST00000269485	protein_coding	0	1	0	0	0	1	0	0	0	0
TNFRSF11A	ENSG00000141655	ENST00000586569	protein_coding	0	1	0	0	0	1	0	0	0	0
TNFRSF11A	ENSG00000141655	ENST00000587697	retained_intron	0	0	1	0	0	0	1	0	0	0
TNFRSF11A	ENSG00000141655	ENST00000616710	protein_coding	0	1	0	0	0	1	0	0	0	0
TNFRSF11A	ENSG00000141655	ENST00000617039	protein_coding	0	1	0	0	0	1	0	0	0	0
TRAPPC10	ENSG00000160218	ENST00000291574	protein_coding	1	0	0	0	0	0	0	0	1	0
TRAPPC10	ENSG00000160218	ENST00000380221	protein_coding	1	0	0	0	0	0	0	0	1	0
TRAPPC10	ENSG00000160218	ENST00000422875	nonsense_mediated_decay	0	0	1	0	0	0	1	0	0	0
ZBTB20	ENSG00000181722	ENST00000357258	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000393785	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000462705	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000464560	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000470311	protein_coding	0	0	1	1	0	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000471418	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000474710	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000479879	processed_transcript	0	0	1	0	1	0	0	0	0	0
ZBTB20	ENSG00000181722	ENST00000481632	protein_coding	0	0	1	0	1	0	0	0	0	0
ZBTB20-AS1	ENSG00000241560	ENST00000467304	antisense	0	0	1	0	0	0	0	0	0	1
ZBTB20-AS1	ENSG00000241560	ENST00000475939	antisense	0	0	1	0	0	0	0	0	0	1
ZBTB20-AS1	ENSG00000241560	ENST00000496219	antisense	0	0	1	0	0	0	0	0	0	1
